,0,1,2,3,4,5,6,7,8,9,10,11,12
Words,Alzheimer's Disease,Cancer,Car Accidents,Diabetes,Heart Disease,Homicide,Kidney,Lower Respiratory Disease,Overdose,Pneumonia & Influenza,Stroke,Suicide,Terrorism
1999,0.0070525019999999996,0.136908094,0.020709728,0.013545281999999999,0.029105564,0.35206537600000004,0.0013433339999999998,0.026083062999999997,0.0013433339999999998,0.043882234000000006,0.060002239000000006,0.099518639,0.208440613
2000,0.009096301999999999,0.16343682,0.025311449,0.02115879,0.034210006,0.351690726,0.00207633,0.02323512,0.00138422,0.048249951,0.06594819099999999,0.099663832,0.154538264
2001,0.005036164,0.11202786,0.015751406000000003,0.010768818999999999,0.019180284,0.218162336,0.000750067,0.014358425,0.000696491,0.022877043,0.041843022,0.106723815,0.43182427
2002,0.00419121,0.116334391,0.022711826,0.014839148,0.021975532000000002,0.241334391,0.000736294,0.015065700000000001,0.001415949,0.02259855,0.050464431,0.130550521,0.35778205700000004
2003,0.004267733,0.10782777800000001,0.021716817000000003,0.01901572,0.025768462000000002,0.242234347,0.001458592,0.015828426,0.000756307,0.033277511,0.053697800999999996,0.14758792099999998,0.326562584
2004,0.005196305,0.11778291,0.020102876000000002,0.021677514,0.031335293,0.239922318,0.001154734,0.020785219,0.000944783,0.026243963999999998,0.054744909,0.138778081,0.321331094
2005,0.004103967,0.117951056,0.017783858,0.019506511,0.023509145,0.239651416,0.000911993,0.014845215,0.00121599,0.047980949,0.051274256,0.144652176,0.316613467
2006,0.004882102,0.130102836,0.020567155,0.017347045,0.020255531,0.24654617199999998,0.0006751839999999999,0.014438558,0.001246494,0.049392334,0.063103771,0.132180326,0.299262491
2007,0.005519294,0.11916874599999999,0.031387982,0.022317142999999998,0.023468996000000002,0.268141678,0.001583797,0.013918218000000001,0.001967748,0.038011135,0.057160683,0.13884622800000002,0.278508351
2008,0.005399358000000001,0.123990661,0.026169861000000003,0.019651717,0.02106236,0.274053896,0.0007782860000000001,0.014495573000000001,0.002237572,0.029672147000000003,0.062749295,0.137075591,0.282663683
2009,0.0044968759999999995,0.132453425,0.031186124,0.015242656,0.016994686000000002,0.24230567100000003,0.0008176139999999999,0.012556211000000001,0.001868831,0.091572738,0.06307306,0.125562109,0.26186999899999996
2010,0.005262798000000001,0.138404757,0.028979564,0.021187888999999998,0.020299364,0.274007245,0.0018453970000000001,0.014626478,0.001230265,0.037591415,0.06192331400000001,0.123983323,0.270658192
2011,0.0054669409999999995,0.159377412,0.028749677999999997,0.023797272999999997,0.021674812999999998,0.292899408,0.00147929,0.013377926000000002,0.0020581429999999997,0.034087986,0.069976846,0.122009262,0.22504502199999998
2012,0.005948148,0.161957716,0.026120127000000003,0.025344281,0.020883171000000002,0.29094200600000003,0.00103446,0.014353139,0.0007111919999999999,0.031551044,0.07202431,0.11514838,0.233982026
2013,0.004781569,0.156433384,0.032329928,0.027222343,0.023744837999999997,0.271897414,0.001575744,0.013964356,0.000597696,0.032112584,0.066018257,0.104651163,0.26467072399999997
2014,0.002878733,0.150413818,0.025857194,0.029507017000000003,0.023029867000000002,0.270857965,0.0011823369999999999,0.015421786000000002,0.002210456,0.029198581,0.062406827000000005,0.11792525599999999,0.269110163
2015,0.000420433,0.12570948099999998,0.026991802000000002,0.023376077000000002,0.018919487,0.240151356,0.0015556020000000001,0.01400042,0.001681732,0.023165861,0.051755308,0.122724406,0.349548034
2016,4.16e-05,0.126957029,0.02818954,0.022526649,0.021152565,0.233052965,0.0014157229999999998,0.015947702,0.0028314459999999996,0.023109594,0.051882079000000005,0.140323118,0.33256995300000003
Average,0.004943649117647058,0.1410140102352941,0.02650687735294118,0.021648933764705884,0.024504115529411768,0.2817598050588236,0.001316163411764706,0.01690009029411765,0.0015528617058823532,0.0390926835882353,0.06235579994117647,0.13222965570588238,0.30499888158823524
