,0,1,2,3,4,5,6,7,8,9,10,11,12
Words,alzheimer's,cancer,car accidents,diabetes,heart disease,homicide,kidney disease,overdose,pneumonia,respiratory disease,stroke,suicide,terrorism
2004,0.095188874,0.09800789300000001,0.094155234,0.10157865099999999,0.086074046,0.055910543,0.080060139,0.04294305599999999,0.047923323,0.083067093,0.10402180000000001,0.022740086,0.08832926099999999
2005,0.08655672199999999,0.103048476,0.09675162400000001,0.102748626,0.07906047,0.052073963,0.083158421,0.062868566,0.053673162999999996,0.07876062,0.108845577,0.024987506,0.067466267
2006,0.093394601,0.105801264,0.093624354,0.10568638699999999,0.07466973,0.051809305,0.090982194,0.05973578400000001,0.055025847,0.071797817,0.112923607,0.024468696,0.060080414000000006
2007,0.0843947,0.10896693699999999,0.08683905800000001,0.10742313099999999,0.072044256,0.065097131,0.092756979,0.064453879,0.059565161,0.073459411,0.112311849,0.023800334,0.048887174000000005
2008,0.086156308,0.10976260300000001,0.08348893,0.104694585,0.066150974,0.06655108,0.094291811,0.06775139999999999,0.065217391,0.072552681,0.115364097,0.024406507999999997,0.04361163
2009,0.077338372,0.110676205,0.082062357,0.10325280099999999,0.065595897,0.070454852,0.09758401900000001,0.071264678,0.073559185,0.071129707,0.11364556599999999,0.022675125,0.040761236
2010,0.054596887999999996,0.112022631,0.085148515,0.107072136,0.064639321,0.068175389,0.104384724,0.077652051,0.072560113,0.06874116,0.122772277,0.024186704,0.038048091
2011,0.0580636,0.11101646800000001,0.07382169200000001,0.10377626300000001,0.06303236799999999,0.07453151599999999,0.09951732,0.077512777,0.08205565,0.064735945,0.135718342,0.023140261000000002,0.033077797
2012,0.046730303,0.112409175,0.07166263,0.103718478,0.064254167,0.07679156599999999,0.107992592,0.076364154,0.086479555,0.06439663799999999,0.13748397199999998,0.024362445,0.027354324
2013,0.037542662000000004,0.112201365,0.06612628,0.104522184,0.062002275,0.086461889,0.113481229,0.07536973799999999,0.08688851,0.065984073,0.13722980699999998,0.023606371,0.028583617999999998
2014,0.038383565,0.108528179,0.058521422000000003,0.101094743,0.057845655,0.088390323,0.108663333,0.09663468,0.08690363599999999,0.072442222,0.131098797,0.023651845,0.0278416
2015,0.041032429,0.109596294,0.058504302,0.102051621,0.056254135999999996,0.08259430799999999,0.11594970199999999,0.07372600900000001,0.091197882,0.071608206,0.129980146,0.028325612000000003,0.039179351
2016,0.043918919,0.105355355,0.054554555,0.096471471,0.05467968,0.081581582,0.11824324300000001,0.071571572,0.090215215,0.066816817,0.13038038,0.04867367400000001,0.037537537999999995
Average,0.06486907253846154,0.10826098807692305,0.07732776561538462,0.10339162130769232,0.06663869038461538,0.07080180361538461,0.10054351584615384,0.07060371876923076,0.07317420238461537,0.0711917223076923,0.12244432438461539,0.026078859000000003,0.04467371546153846
